,repo,org,obs_period,unit_complexity,unit_size,lines,n_modified_files,n_contributors
0,wakaama,eclipse,"(datetime.datetime(2023, 9, 1, 0, 0), datetime.datetime(2023, 10, 1, 0, 0))","{'avg': 0.04714640198511166, 'max': [0.04714640198511166], 'Q1': 0.04714640198511166, 'Q3': 0.04714640198511166}","{'avg': 0.0, 'max': [0.0], 'Q1': 0.0, 'Q3': 0.0}","{'avg': 327.0, 'max': [652], 'Q1': 164.5, 'Q3': 489.5}","{'avg': 4.0, 'max': [7], 'Q1': 2.5, 'Q3': 5.5}",2
0,wakaama,eclipse,"(datetime.datetime(2023, 10, 1, 0, 0), datetime.datetime(2023, 11, 1, 0, 0))","{'avg': 1.0, 'max': [1.0], 'Q1': 1.0, 'Q3': 1.0}","{'avg': 1.0, 'max': [1.0], 'Q1': 1.0, 'Q3': 1.0}","{'avg': 3.0, 'max': [3], 'Q1': 3.0, 'Q3': 3.0}","{'avg': 1.0, 'max': [1], 'Q1': 1.0, 'Q3': 1.0}",1
0,wakaama,eclipse,"(datetime.datetime(2023, 11, 1, 0, 0), datetime.datetime(2023, 12, 1, 0, 0))","{'avg': 0.4457236842105263, 'max': [1.0], 'Q1': 0.0, 'Q3': 0.9207589285714286}","{'avg': 0.14285714285714285, 'max': [1.0], 'Q1': 0.0, 'Q3': 0.859375}","{'avg': 16.0, 'max': [5500], 'Q1': 4.0, 'Q3': 38.0}","{'avg': 2.0, 'max': [17], 'Q1': 1.0, 'Q3': 3.0}",5
0,wakaama,eclipse,"(datetime.datetime(2023, 12, 1, 0, 0), datetime.datetime(2024, 1, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2022, 1, 1, 0, 0), datetime.datetime(2022, 2, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2022, 2, 1, 0, 0), datetime.datetime(2022, 3, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2022, 3, 1, 0, 0), datetime.datetime(2022, 4, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2022, 4, 1, 0, 0), datetime.datetime(2022, 5, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2022, 5, 1, 0, 0), datetime.datetime(2022, 6, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 8395.0, 'max': [8395], 'Q1': 8395.0, 'Q3': 8395.0}","{'avg': 10.5, 'max': [21], 'Q1': 5.25, 'Q3': 15.75}",2
0,vorto,eclipse,"(datetime.datetime(2022, 6, 1, 0, 0), datetime.datetime(2022, 7, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 253.0, 'max': [253], 'Q1': 253.0, 'Q3': 253.0}","{'avg': 15.0, 'max': [30], 'Q1': 7.5, 'Q3': 22.5}",2
0,vorto,eclipse,"(datetime.datetime(2022, 7, 1, 0, 0), datetime.datetime(2022, 8, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2022, 8, 1, 0, 0), datetime.datetime(2022, 9, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 289.0, 'max': [538], 'Q1': 34.5, 'Q3': 538.0}","{'avg': 7.0, 'max': [12], 'Q1': 5.25, 'Q3': 8.25}",2
0,vorto,eclipse,"(datetime.datetime(2022, 9, 1, 0, 0), datetime.datetime(2022, 10, 1, 0, 0))",0,0,0,0,0
0,vorto,eclipse,"(datetime.datetime(2022, 10, 1, 0, 0), datetime.datetime(2022, 11, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 12.0, 'max': [9615], 'Q1': 12.0, 'Q3': 4813.5}","{'avg': 2.0, 'max': [27], 'Q1': 1.0, 'Q3': 14.5}",3
